#File	#date	#Source	#Software	#Creator	#Contributors	#Owner	#Rights	#RightsURL	#ContactURL
*	2022-02-14					N-z0	Rights specified by the local license file	license.md	syslog@mail.com
data/shaders/*	2022-02-14					N-z0	Rights specified by the local license file	data/shaders/license.md	syslog@mail.com
docs/contents/logo/logo.svg	16/4/2022			Nz0			http://creativecommons.org/publicdomain/zero/1.0/	http://creativecommons.org/publicdomain/zero/1.0/	
interface.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
shaders.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/icons.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/overlays.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/resources/audios.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/resources/bitmaps.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/signals.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/hud/sprites.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/interface.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/shaders.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/ears.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/eyes.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/items.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/lights.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/models.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/noises.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/resources/materials.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/resources/meshes.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/resources/sounds.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/resources/textures.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
src/world/scenes.py	2022-04-01			N-zo syslog@laposte.net	Nzo		public domain		syslog@laposte.net
